#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,RELOCATIONS,
C4-237-15,22354,22371,22386,2,
C5-255-15,22393,22406,22407,0,
C0-7-15,22435,22438,22439,0,
C12-579-15,22501,22510,22518,1,
C14-654-15,22517,22524,22535,2,
C6-305-15,22540,22543,22544,0,
C3-164-15,22548,22548,22549,0,
C8-425-15,22548,22548,22549,0,
C8-398-15,22572,22572,22580,1,
C14-687-15,22609,22610,22611,0,
C7-384-15,22641,22641,22642,0,
C11-544-15,22651,22651,22652,0,
C0-31-15,22657,22657,22658,0,
C8-407-15,22657,22657,22658,0,
C13-646-15,22677,22684,22685,0,
C12-594-15,22679,22684,22685,0,
C11-530-16,23531,23545,23546,0,
C12-566-16,23569,23580,23581,0,
C1-92-16,23643,23643,23644,0,
C4-222-16,23649,23649,23678,4,
C10-494-16,23710,23733,23734,0,
C4-213-16,23722,23740,23741,0,
C14-665-16,23728,23740,23741,0,
C8-426-16,23731,23740,23741,0,
C11-529-16,23732,23740,23741,0,
C4-231-16,23744,23747,23748,0,
C15-708-16,23758,23761,23769,1,
C4-244-16,23795,23795,23796,0,
C10-512-16,23798,23798,23827,4,
C8-420-16,23801,23826,23827,0,
C7-390-16,23806,23826,23827,0,
C11-534-16,23828,23828,23829,0,
C9-460-16,23844,23851,23852,0,
C11-520-16,23865,23865,23866,0,
C14-653-16,23871,23876,23877,0,
C15-734-16,23889,23894,23895,0,
C4-220-16,23894,23894,23895,0,
C2-111-16,23896,23896,23897,0,
C9-441-16,23954,23954,23955,0,
C14-686-16,23955,23955,23956,0,
C14-661-16,23972,23978,23979,0,
C8-400-16,23995,23995,23996,0,
C8-395-16,24009,24009,24010,0,
C11-554-16,24027,24030,24031,0,
C0-34-16,24039,24046,24054,1,
C8-428-16,24066,24070,24071,0,
C13-649-16,24070,24070,24071,0,
C15-738-16,24105,24105,24106,0,
C13-638-16,24114,24114,24115,0,
C4-236-17,25022,25031,25032,0,
C3-172-17,25032,25032,25033,0,
C14-655-17,25057,25071,25072,0,
C15-698-17,25069,25092,25093,0,
C7-346-17,25074,25099,25100,0,
C6-324-17,25086,25099,25100,0,
C13-619-17,25092,25106,25107,0,
C6-332-17,25096,25113,25114,0,
C5-294-17,25119,25123,25124,0,
C7-350-17,25126,25130,25131,0,
C14-677-17,25136,25144,25145,0,
C13-633-17,25153,25159,25160,0,
C14-663-17,25171,25171,25172,0,
C16-753-17,25185,25188,25189,0,
C15-725-17,25191,25195,25196,0,
C13-642-17,25203,25203,25204,0,
C13-613-17,25217,25222,25223,0,
C16-747-17,25217,25222,25223,0,
C11-532-17,25218,25222,25223,0,
C14-664-17,25263,25263,25264,0,
C15-706-17,25294,25294,25295,0,
C6-338-17,25300,25302,25303,0,
C10-505-17,25313,25313,25314,0,
C9-458-17,25346,25346,25347,0,
C14-691-17,25381,25382,25383,0,
C4-240-17,25384,25384,25385,0,
C10-507-17,25412,25412,25413,0,
C8-403-17,25426,25434,25435,0,
C15-703-17,25430,25441,25442,0,
C12-583-17,25441,25455,25456,0,
C13-617-17,25441,25455,25456,0,
C15-710-17,25453,25455,25456,0,
C12-608-17,25463,25471,25472,0,
C2-141-17,25550,25550,25551,0,
C8-413-17,25551,25551,25555,1,
C4-206-17,25552,25554,25555,0,
C16-765-17,25554,25554,25555,0,
C12-582-18,26463,26469,26470,0,
C10-490-18,26465,26476,26477,0,
C7-385-18,26474,26483,26484,0,
C17-812-18,26491,26504,26519,2,
C4-245-18,26504,26532,26533,0,
C6-341-18,26504,26532,26533,0,
C12-612-18,26515,26546,26547,0,
C7-367-18,26531,26553,26561,1,
C16-766-18,26537,26567,26589,3,
C16-741-18,26539,26595,26596,0,
C7-343-18,26541,26595,26631,5,
C13-635-18,26553,26651,26652,0,
C5-295-18,26568,26658,26659,0,
C8-406-18,26577,26658,26659,0,
C13-618-18,26579,26658,26659,0,
C16-768-18,26615,26658,26659,0,
C8-393-18,26631,26672,26673,0,
C17-799-18,26633,26672,26673,0,
C11-521-18,26636,26672,26673,0,
C1-58-18,26645,26672,26673,0,
C13-615-18,26651,26672,26673,0,
C4-199-18,26654,26672,26690,3,
C7-356-18,26670,26703,26704,0,
C4-200-18,26682,26710,26747,6,
C17-813-18,26686,26746,26747,0,
C17-826-18,26718,26767,26775,1,
C2-112-18,26741,26795,26796,0,
C12-589-18,26746,26795,26796,0,
C10-503-18,26765,26802,26803,0,
C14-682-18,26765,26802,26803,0,
C3-190-18,26774,26802,26803,0,
C15-730-18,26819,26823,26838,2,
C11-519-18,26843,26847,26848,0,
C12-611-18,26849,26849,26879,5,
C11-545-18,26856,26878,26879,0,
C7-349-18,26897,26897,26898,0,
C15-704-18,26897,26897,26898,0,
C5-272-18,26902,26902,26903,0,
C12-575-18,26925,26932,26933,0,
C17-819-18,26928,26932,26933,0,
C2-123-18,26939,26939,26940,0,
C6-340-18,26952,26952,26953,0,
C17-817-18,26954,26961,26962,0,
C15-701-18,26979,26979,26980,0,
C3-177-18,26986,26986,26987,0,
C17-829-18,26986,26986,26987,0,
C10-514-19,27872,27873,27874,0,
C10-495-19,27894,27909,27910,0,
C13-614-19,27914,27916,27959,6,
C7-383-19,27929,27972,27973,0,
C14-694-19,27963,28000,28001,0,
C18-876-19,27979,28021,28022,0,
C0-13-19,28011,28049,28050,0,
C18-855-19,28026,28077,28078,0,
C12-584-19,28088,28091,28099,1,
C7-373-19,28089,28098,28099,0,
C13-637-19,28098,28112,28120,1,
C7-370-19,28099,28119,28120,0,
C15-717-19,28099,28119,28128,2,
C18-854-19,28108,28127,28128,0,
C16-757-19,28143,28150,28151,0,
C5-273-19,28168,28168,28169,0,
C11-524-19,28252,28261,28262,0,
C14-678-19,28259,28268,28269,0,
C11-522-19,28272,28275,28276,0,
C14-676-19,28279,28279,28280,0,
C6-322-19,28286,28294,28312,3,
C4-248-19,28300,28318,28319,0,
